val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.13238053023815155,0.9978145360946655,0.9978145360946655,0,39,,,,
,,,0,39,0.39851027727127075,0.937058687210083,0.937058687210083,
,,,,49,,,,1.220245676671809e-06
0.024105573073029518,0.9998082518577576,0.9998082518577576,1,79,,,,
,,,1,79,0.052075304090976715,0.9998949766159058,0.9998949766159058,
,,,,99,,,,1.220245676671809e-06
0.03986956924200058,0.9999616146087646,0.9999616146087646,2,119,,,,
,,,2,119,0.015485537238419056,0.9999804496765137,0.9999804496765137,
,,,,149,,,,1.220245676671809e-06
0.012197424657642841,0.9999233484268188,0.9999233484268188,3,159,,,,
,,,3,159,0.007373695727437735,1.0,1.0,
,,,,199,,,,1.220245676671809e-06
0.011602725833654404,0.9999616146087646,0.9999616146087646,4,199,,,,
,,,4,199,0.0033269182313233614,1.0,1.0,
0.007837023586034775,0.9999616146087646,0.9999616146087646,5,239,,,,
,,,5,239,0.0019393358379602432,1.0,1.0,
,,,,249,,,,1.220245676671809e-06
0.007674939464777708,1.0,1.0,6,279,,,,
,,,6,279,0.0014195013791322708,0.9999999403953552,0.9999999403953552,
,,,,299,,,,1.220245676671809e-06
0.007306141313165426,0.9999616146087646,0.9999616146087646,7,319,,,,
,,,7,319,0.0014404255198314786,1.0,1.0,
,,,,349,,,,1.220245676671809e-06
0.006704607047140598,0.9999616742134094,0.9999616742134094,8,359,,,,
,,,8,359,0.0007200166000984609,1.0,1.0,
,,,,399,,,,1.220245676671809e-06
0.00894232653081417,0.9999616146087646,0.9999616146087646,9,399,,,,
,,,9,399,0.0006913400138728321,1.0,1.0,
