lr-AdamW,step,val_loss,val_score,val_AUROC,epoch,train_loss,train_score,train_AUROC
1.220245676671809e-06,49,,,,,,,
1.220245676671809e-06,99,,,,,,,
1.220245676671809e-06,149,,,,,,,
,160,0.00951840914785862,1.0,1.0,0,,,
,160,,,,1,0.18582163751125336,0.988599956035614,0.988599956035614
1.220245676671809e-06,199,,,,,,,
1.220245676671809e-06,249,,,,,,,
1.220245676671809e-06,299,,,,,,,
,321,0.000671977293677628,0.9999999403953552,0.9999999403953552,1,,,
,321,,,,2,0.009968421421945095,0.9999855756759644,0.9999855756759644
1.220245676671809e-06,349,,,,,,,
1.220245676671809e-06,399,,,,,,,
1.220245676671809e-06,449,,,,,,,
,482,0.00650128535926342,1.0,1.0,2,,,
,482,,,,3,0.012306921184062958,0.9999179840087891,0.9999179840087891
1.220245676671809e-06,499,,,,,,,
1.220245676671809e-06,549,,,,,,,
1.220245676671809e-06,599,,,,,,,
,643,0.0003783749998547137,1.0,1.0,3,,,
,643,,,,4,0.010561084374785423,0.9993273019790649,0.9993273019790649
1.220245676671809e-06,649,,,,,,,
1.220245676671809e-06,699,,,,,,,
1.220245676671809e-06,749,,,,,,,
1.220245676671809e-06,799,,,,,,,
,804,0.0001589535822859034,1.0,1.0,4,,,
,804,,,,5,0.0006539766909554601,1.0,1.0
1.220245676671809e-06,849,,,,,,,
1.220245676671809e-06,899,,,,,,,
1.220245676671809e-06,949,,,,,,,
,965,0.0001505700492998585,1.0,1.0,5,,,
,965,,,,6,0.00373646873049438,0.9999927878379822,0.9999927878379822
1.220245676671809e-06,999,,,,,,,
1.220245676671809e-06,1049,,,,,,,
1.220245676671809e-06,1099,,,,,,,
,1126,6.303881673375145e-05,0.9999999403953552,0.9999999403953552,6,,,
,1126,,,,7,0.007160584442317486,0.9998577237129211,0.9998577237129211
1.220245676671809e-06,1149,,,,,,,
1.220245676671809e-06,1199,,,,,,,
1.220245676671809e-06,1249,,,,,,,
,1287,3.576714516384527e-05,0.9999999403953552,0.9999999403953552,7,,,
,1287,,,,8,0.0009485708433203399,1.0,1.0
1.220245676671809e-06,1299,,,,,,,
1.220245676671809e-06,1349,,,,,,,
1.220245676671809e-06,1399,,,,,,,
,1448,0.0008940634434111416,1.0,1.0,8,,,
,1448,,,,9,0.00574789522215724,0.9999879598617554,0.9999879598617554
1.220245676671809e-06,1449,,,,,,,
1.220245676671809e-06,1499,,,,,,,
1.220245676671809e-06,1549,,,,,,,
1.220245676671809e-06,1599,,,,,,,
,1609,0.016606293618679047,0.9999999403953552,0.9999999403953552,9,,,
,1609,,,,10,0.006212344393134117,0.9999396800994873,0.9999396800994873
